sample_id,clean_instruction,corrupt_instruction
apps_python_29,Manually build the function body in solve.py based on the function definition and docstring below:,Independently develop the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_29,Write the function body in solve.cpp based on the function definition and docstring below:,Develop the function body in solve.cpp based on the function definition and docstring below:
apps_python_30,Directly build the function body in solve.py based on the function definition and docstring below:,Independently develop the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_30,Properly add the function body in solve.cpp based on the function definition and docstring below:,Properly develop the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_30,Edit the function body in solve.java based on the function definition and docstring below:,Craft the function body in solve.java based on the function definition and docstring below:
mbpp_python_32,Write out the function body in solve.py based on the function definition and docstring below:,Build out the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_33,Prepare the function body in solve.cpp based on the function definition and docstring below:,Author the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_33,Prefill the function body in solve.java based on the function definition and docstring below:,Formulate the function body in solve.java based on the function definition and docstring below:
humaneval_python_33,Save the function body in solve.py based on the function definition and docstring below:,Supply the function body in solve.py based on the function definition and docstring below:
apps_python_35,Directly build the function body in solve.py based on the function definition and docstring below:,Independently develop the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_35,Manually build the function body in solve.cpp based on the function definition and docstring below:,Carefully implement the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_35,Paste the function body in solve.java based on the function definition and docstring below:,Craft the function body in solve.java based on the function definition and docstring below:
mbpp_python_35,Edit the function body in solve.py based on the function definition and docstring below:,Supply the function body in solve.py based on the function definition and docstring below:
codecontests_java_36,Paste the function body in solve.java based on the function definition and docstring below:,Compose the function body in solve.java based on the function definition and docstring below:
mbpp_python_36,Manually build the function body in solve.py based on the function definition and docstring below:,Manually develop the function body in solve.py based on the function definition and docstring below:
apps_python_37,Manually build the function body in solve.py based on the function definition and docstring below:,Manually develop the function body in solve.py based on the function definition and docstring below:
codecontests_java_37,Prefill the function body in solve.java based on the function definition and docstring below:,Formulate the function body in solve.java based on the function definition and docstring below:
codecontests_cpp_39,Create the function body in solve.cpp based on the function definition and docstring below:,Implement the function body in solve.cpp based on the function definition and docstring below:
humaneval_python_39,Directly build the function body in solve.py based on the function definition and docstring below:,Carefully implement the function body in solve.py based on the function definition and docstring below:
apps_python_40,Prepare the function body in solve.py based on the function definition and docstring below:,Author the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_40,Properly add the function body in solve.cpp based on the function definition and docstring below:,Properly develop the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_40,Paste the function body in solve.java based on the function definition and docstring below:,Design the function body in solve.java based on the function definition and docstring below:
codecontests_cpp_41,Properly add the function body in solve.cpp based on the function definition and docstring below:,Properly develop the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_41,Finalize the function body in solve.java based on the function definition and docstring below:,Devise the function body in solve.java based on the function definition and docstring below:
codecontests_cpp_42,Properly add the function body in solve.cpp based on the function definition and docstring below:,Properly develop the function body in solve.cpp based on the function definition and docstring below:
mbpp_python_42,Directly build the function body in solve.py based on the function definition and docstring below:,Independently develop the function body in solve.py based on the function definition and docstring below:
apps_python_43,Write out the function body in solve.py based on the function definition and docstring below:,Build out the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_43,Prefill the function body in solve.cpp based on the function definition and docstring below:,Formulate the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_43,Save the function body in solve.java based on the function definition and docstring below:,Supply the function body in solve.java based on the function definition and docstring below:
apps_python_44,Directly implement the function body in solve.py based on the function definition and docstring below:,Manually develop the function body in solve.py based on the function definition and docstring below:
codecontests_java_44,Prefill the function body in solve.java based on the function definition and docstring below:,Formulate the function body in solve.java based on the function definition and docstring below:
humaneval_python_44,Directly build the function body in solve.py based on the function definition and docstring below:,Independently develop the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_45,Properly add the function body in solve.cpp based on the function definition and docstring below:,Properly develop the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_45,Append the function body in solve.java based on the function definition and docstring below:,Supply the function body in solve.java based on the function definition and docstring below:
apps_python_46,Directly build the function body in solve.py based on the function definition and docstring below:,Manually develop the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_46,Insert the function body in solve.cpp based on the function definition and docstring below:,Author the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_46,Append the function body in solve.java based on the function definition and docstring below:,Build the function body in solve.java based on the function definition and docstring below:
humaneval_python_47,Manually build the function body in solve.py based on the function definition and docstring below:,Manually develop the function body in solve.py based on the function definition and docstring below:
apps_python_48,Write out the function body in solve.py based on the function definition and docstring below:,Build out the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_48,Paste the function body in solve.cpp based on the function definition and docstring below:,Author the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_48,Append the function body in solve.java based on the function definition and docstring below:,Design the function body in solve.java based on the function definition and docstring below:
apps_python_49,Directly implement the function body in solve.py based on the function definition and docstring below:,Independently develop the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_49,Properly add the function body in solve.cpp based on the function definition and docstring below:,Properly develop the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_49,Prefill the function body in solve.java based on the function definition and docstring below:,Formulate the function body in solve.java based on the function definition and docstring below:
codecontests_cpp_50,Prepare the function body in solve.cpp based on the function definition and docstring below:,Develop the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_50,Edit the function body in solve.java based on the function definition and docstring below:,Compose the function body in solve.java based on the function definition and docstring below:
apps_python_51,Directly build the function body in solve.py based on the function definition and docstring below:,Independently develop the function body in solve.py based on the function definition and docstring below:
codecontests_java_52,Paste the function body in solve.java based on the function definition and docstring below:,Craft the function body in solve.java based on the function definition and docstring below:
apps_python_53,Paste the function body in solve.py based on the function definition and docstring below:,Author the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_53,Write the function body in solve.cpp based on the function definition and docstring below:,Develop the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_53,Paste the function body in solve.java based on the function definition and docstring below:,Design the function body in solve.java based on the function definition and docstring below:
codecontests_java_55,Save the function body in solve.java based on the function definition and docstring below:,Design the function body in solve.java based on the function definition and docstring below:
mbpp_python_55,Write out the function body in solve.py based on the function definition and docstring below:,Build out the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_56,Properly add the function body in solve.cpp based on the function definition and docstring below:,Properly develop the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_56,Save the function body in solve.java based on the function definition and docstring below:,Supply the function body in solve.java based on the function definition and docstring below:
codecontests_cpp_57,Paste the function body in solve.cpp based on the function definition and docstring below:,Author the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_57,Save the function body in solve.java based on the function definition and docstring below:,Build the function body in solve.java based on the function definition and docstring below:
apps_python_58,Directly build the function body in solve.py based on the function definition and docstring below:,Independently develop the function body in solve.py based on the function definition and docstring below:
codecontests_java_58,Edit the function body in solve.java based on the function definition and docstring below:,Compose the function body in solve.java based on the function definition and docstring below:
apps_python_59,Directly build the function body in solve.py based on the function definition and docstring below:,Independently develop the function body in solve.py based on the function definition and docstring below:
apps_python_60,Write out the function body in solve.py based on the function definition and docstring below:,Build out the function body in solve.py based on the function definition and docstring below:
codecontests_java_60,Edit the function body in solve.java based on the function definition and docstring below:,Compose the function body in solve.java based on the function definition and docstring below:
humaneval_python_60,Directly build the function body in solve.py based on the function definition and docstring below:,Carefully implement the function body in solve.py based on the function definition and docstring below:
codecontests_java_61,Finalize the function body in solve.java based on the function definition and docstring below:,Devise the function body in solve.java based on the function definition and docstring below:
mbpp_python_61,Directly build the function body in solve.py based on the function definition and docstring below:,Manually develop the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_62,Write the function body in solve.cpp based on the function definition and docstring below:,Develop the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_62,Edit the function body in solve.java based on the function definition and docstring below:,Supply the function body in solve.java based on the function definition and docstring below:
codecontests_java_63,Append the function body in solve.java based on the function definition and docstring below:,Build the function body in solve.java based on the function definition and docstring below:
apps_python_64,Insert the function body in solve.py based on the function definition and docstring below:,Author the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_64,Properly add the function body in solve.cpp based on the function definition and docstring below:,Properly develop the function body in solve.cpp based on the function definition and docstring below:
codecontests_cpp_66,Create the function body in solve.cpp based on the function definition and docstring below:,Develop the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_67,Directly implement the function body in solve.java based on the function definition and docstring below:,Independently develop the function body in solve.java based on the function definition and docstring below:
codecontests_cpp_68,Insert the function body in solve.cpp based on the function definition and docstring below:,Craft the function body in solve.cpp based on the function definition and docstring below:
apps_python_69,Manually build the function body in solve.py based on the function definition and docstring below:,Independently develop the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_70,Create the function body in solve.cpp based on the function definition and docstring below:,Implement the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_70,Insert the function body in solve.java based on the function definition and docstring below:,Craft the function body in solve.java based on the function definition and docstring below:
codecontests_cpp_72,Write the function body in solve.cpp based on the function definition and docstring below:,Develop the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_72,Edit the function body in solve.java based on the function definition and docstring below:,Compose the function body in solve.java based on the function definition and docstring below:
codecontests_cpp_73,Append the function body in solve.cpp based on the function definition and docstring below:,Supply the function body in solve.cpp based on the function definition and docstring below:
codecontests_cpp_74,Insert the function body in solve.cpp based on the function definition and docstring below:,Author the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_74,Insert the function body in solve.java based on the function definition and docstring below:,Supply the function body in solve.java based on the function definition and docstring below:
apps_python_75,Directly build the function body in solve.py based on the function definition and docstring below:,Manually develop the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_75,Paste the function body in solve.cpp based on the function definition and docstring below:,Craft the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_75,Append the function body in solve.java based on the function definition and docstring below:,Build the function body in solve.java based on the function definition and docstring below:
codecontests_java_76,Paste the function body in solve.java based on the function definition and docstring below:,Craft the function body in solve.java based on the function definition and docstring below:
humaneval_python_76,Save the function body in solve.py based on the function definition and docstring below:,Design the function body in solve.py based on the function definition and docstring below:
apps_python_77,Write out the function body in solve.py based on the function definition and docstring below:,Build out the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_77,Paste the function body in solve.cpp based on the function definition and docstring below:,Build the function body in solve.cpp based on the function definition and docstring below:
apps_python_79,Write out the function body in solve.py based on the function definition and docstring below:,Build out the function body in solve.py based on the function definition and docstring below:
codecontests_java_79,Save the function body in solve.java based on the function definition and docstring below:,Supply the function body in solve.java based on the function definition and docstring below:
mbpp_python_79,Directly build the function body in solve.py based on the function definition and docstring below:,Manually develop the function body in solve.py based on the function definition and docstring below:
apps_python_80,Paste the function body in solve.py based on the function definition and docstring below:,Author the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_80,Write out the function body in solve.cpp based on the function definition and docstring below:,Build out the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_80,Append the function body in solve.java based on the function definition and docstring below:,Supply the function body in solve.java based on the function definition and docstring below:
apps_python_82,Paste the function body in solve.py based on the function definition and docstring below:,Design the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_83,Create the function body in solve.cpp based on the function definition and docstring below:,Implement the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_83,Finalize the function body in solve.java based on the function definition and docstring below:,Devise the function body in solve.java based on the function definition and docstring below:
codecontests_java_84,Edit the function body in solve.java based on the function definition and docstring below:,Author the function body in solve.java based on the function definition and docstring below:
humaneval_python_84,Directly implement the function body in solve.py based on the function definition and docstring below:,Manually develop the function body in solve.py based on the function definition and docstring below:
apps_python_85,Directly build the function body in solve.py based on the function definition and docstring below:,Independently develop the function body in solve.py based on the function definition and docstring below:
codecontests_java_85,Edit the function body in solve.java based on the function definition and docstring below:,Craft the function body in solve.java based on the function definition and docstring below:
apps_python_87,Directly build the function body in solve.py based on the function definition and docstring below:,Manually develop the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_87,Prepare the function body in solve.cpp based on the function definition and docstring below:,Implement the function body in solve.cpp based on the function definition and docstring below:
apps_python_88,Properly add the function body in solve.py based on the function definition and docstring below:,Properly develop the function body in solve.py based on the function definition and docstring below:
codecontests_java_88,Prefill the function body in solve.java based on the function definition and docstring below:,Formulate the function body in solve.java based on the function definition and docstring below:
codecontests_java_89,Save the function body in solve.java based on the function definition and docstring below:,Design the function body in solve.java based on the function definition and docstring below:
apps_python_91,Directly build the function body in solve.py based on the function definition and docstring below:,Manually develop the function body in solve.py based on the function definition and docstring below:
apps_python_92,Create the function body in solve.py based on the function definition and docstring below:,Implement the function body in solve.py based on the function definition and docstring below:
apps_python_93,Directly build the function body in solve.py based on the function definition and docstring below:,Independently develop the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_93,Create the function body in solve.cpp based on the function definition and docstring below:,Develop the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_93,Append the function body in solve.java based on the function definition and docstring below:,Build the function body in solve.java based on the function definition and docstring below:
apps_python_94,Write out the function body in solve.py based on the function definition and docstring below:,Build out the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_94,Prepare the function body in solve.cpp based on the function definition and docstring below:,Implement the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_94,Append the function body in solve.java based on the function definition and docstring below:,Build the function body in solve.java based on the function definition and docstring below:
codecontests_cpp_95,Directly implement the function body in solve.cpp based on the function definition and docstring below:,Manually develop the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_95,Prepare the function body in solve.java based on the function definition and docstring below:,Craft the function body in solve.java based on the function definition and docstring below:
apps_python_96,Manually build the function body in solve.py based on the function definition and docstring below:,Manually develop the function body in solve.py based on the function definition and docstring below:
codecontests_java_96,Manually build the function body in solve.java based on the function definition and docstring below:,Carefully implement the function body in solve.java based on the function definition and docstring below:
mbpp_python_96,Create the function body in solve.py based on the function definition and docstring below:,Implement the function body in solve.py based on the function definition and docstring below:
apps_python_97,Directly build the function body in solve.py based on the function definition and docstring below:,Independently develop the function body in solve.py based on the function definition and docstring below:
apps_python_98,Properly add the function body in solve.py based on the function definition and docstring below:,Properly develop the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_98,Insert the function body in solve.cpp based on the function definition and docstring below:,Author the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_98,Finalize the function body in solve.java based on the function definition and docstring below:,Devise the function body in solve.java based on the function definition and docstring below:
apps_python_99,Paste the function body in solve.py based on the function definition and docstring below:,Supply the function body in solve.py based on the function definition and docstring below:
codecontests_java_99,Paste the function body in solve.java based on the function definition and docstring below:,Compose the function body in solve.java based on the function definition and docstring below:
apps_python_100,Write out the function body in solve.py based on the function definition and docstring below:,Build out the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_100,Properly add the function body in solve.cpp based on the function definition and docstring below:,Properly develop the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_100,Prefill the function body in solve.java based on the function definition and docstring below:,Formulate the function body in solve.java based on the function definition and docstring below:
codecontests_java_101,Finalize the function body in solve.java based on the function definition and docstring below:,Devise the function body in solve.java based on the function definition and docstring below:
apps_python_102,Directly build the function body in solve.py based on the function definition and docstring below:,Independently develop the function body in solve.py based on the function definition and docstring below:
apps_python_103,Directly build the function body in solve.py based on the function definition and docstring below:,Manually develop the function body in solve.py based on the function definition and docstring below:
mbpp_python_103,Manually build the function body in solve.py based on the function definition and docstring below:,Carefully implement the function body in solve.py based on the function definition and docstring below:
apps_python_104,Directly build the function body in solve.py based on the function definition and docstring below:,Manually develop the function body in solve.py based on the function definition and docstring below:
codecontests_java_105,Manually build the function body in solve.java based on the function definition and docstring below:,Manually develop the function body in solve.java based on the function definition and docstring below:
apps_python_106,Save the function body in solve.py based on the function definition and docstring below:,Supply the function body in solve.py based on the function definition and docstring below:
codecontests_java_106,Prefill the function body in solve.java based on the function definition and docstring below:,Formulate the function body in solve.java based on the function definition and docstring below:
apps_python_107,Directly build the function body in solve.py based on the function definition and docstring below:,Independently develop the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_108,Prepare the function body in solve.cpp based on the function definition and docstring below:,Implement the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_108,Paste the function body in solve.java based on the function definition and docstring below:,Compose the function body in solve.java based on the function definition and docstring below:
humaneval_python_108,Write out the function body in solve.py based on the function definition and docstring below:,Build out the function body in solve.py based on the function definition and docstring below:
codecontests_java_109,Insert the function body in solve.java based on the function definition and docstring below:,Build the function body in solve.java based on the function definition and docstring below:
humaneval_python_109,Directly build the function body in solve.py based on the function definition and docstring below:,Carefully implement the function body in solve.py based on the function definition and docstring below:
apps_python_110,Directly build the function body in solve.py based on the function definition and docstring below:,Independently develop the function body in solve.py based on the function definition and docstring below:
codecontests_java_110,Insert the function body in solve.java based on the function definition and docstring below:,Compose the function body in solve.java based on the function definition and docstring below:
apps_python_111,Paste the function body in solve.py based on the function definition and docstring below:,Author the function body in solve.py based on the function definition and docstring below:
codecontests_java_112,Append the function body in solve.java based on the function definition and docstring below:,Supply the function body in solve.java based on the function definition and docstring below:
humaneval_python_112,Directly implement the function body in solve.py based on the function definition and docstring below:,Manually develop the function body in solve.py based on the function definition and docstring below:
mbpp_python_112,Prepare the function body in solve.py based on the function definition and docstring below:,Supply the function body in solve.py based on the function definition and docstring below:
apps_python_113,Save the function body in solve.py based on the function definition and docstring below:,Design the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_113,Write the function body in solve.cpp based on the function definition and docstring below:,Develop the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_113,Insert the function body in solve.java based on the function definition and docstring below:,Craft the function body in solve.java based on the function definition and docstring below:
codecontests_cpp_114,Write the function body in solve.cpp based on the function definition and docstring below:,Develop the function body in solve.cpp based on the function definition and docstring below:
codecontests_cpp_115,Manually build the function body in solve.cpp based on the function definition and docstring below:,Manually develop the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_115,Save the function body in solve.java based on the function definition and docstring below:,Build the function body in solve.java based on the function definition and docstring below:
humaneval_python_115,Paste the function body in solve.py based on the function definition and docstring below:,Author the function body in solve.py based on the function definition and docstring below:
mbpp_python_115,Directly build the function body in solve.py based on the function definition and docstring below:,Independently develop the function body in solve.py based on the function definition and docstring below:
apps_python_116,Manually build the function body in solve.py based on the function definition and docstring below:,Independently develop the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_116,Write out the function body in solve.cpp based on the function definition and docstring below:,Build out the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_116,Append the function body in solve.java based on the function definition and docstring below:,Build the function body in solve.java based on the function definition and docstring below:
humaneval_python_116,Write the function body in solve.py based on the function definition and docstring below:,Implement the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_117,Directly implement the function body in solve.cpp based on the function definition and docstring below:,Carefully implement the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_117,Finalize the function body in solve.java based on the function definition and docstring below:,Devise the function body in solve.java based on the function definition and docstring below:
mbpp_python_117,Directly build the function body in solve.py based on the function definition and docstring below:,Carefully implement the function body in solve.py based on the function definition and docstring below:
apps_python_118,Save the function body in solve.py based on the function definition and docstring below:,Supply the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_118,Create the function body in solve.cpp based on the function definition and docstring below:,Develop the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_118,Insert the function body in solve.java based on the function definition and docstring below:,Compose the function body in solve.java based on the function definition and docstring below:
apps_python_119,Write out the function body in solve.py based on the function definition and docstring below:,Build out the function body in solve.py based on the function definition and docstring below:
humaneval_python_119,Directly build the function body in solve.py based on the function definition and docstring below:,Independently develop the function body in solve.py based on the function definition and docstring below:
apps_python_120,Prepare the function body in solve.py based on the function definition and docstring below:,Implement the function body in solve.py based on the function definition and docstring below:
