sample_id,clean_lead,corrupt_lead,shared_suffix
apps_python_75,Directly build,Manually develop, the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_75,Paste,Craft, the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_75,Appen,Buil,d the function body in solve.java based on the function definition and docstring below:
codecontests_java_76,Paste,Craft, the function body in solve.java based on the function definition and docstring below:
humaneval_python_76,Save,Design, the function body in solve.py based on the function definition and docstring below:
apps_python_77,Write,Build, out the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_77,Paste,Build, the function body in solve.cpp based on the function definition and docstring below:
apps_python_79,Write,Build, out the function body in solve.py based on the function definition and docstring below:
codecontests_java_79,Save,Supply, the function body in solve.java based on the function definition and docstring below:
mbpp_python_79,Directly build,Manually develop, the function body in solve.py based on the function definition and docstring below:
apps_python_80,Paste,Author, the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_80,Write,Build, out the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_80,Append,Supply, the function body in solve.java based on the function definition and docstring below:
apps_python_82,Paste,Design, the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_83,Create,Implement, the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_83,Finaliz,Devis,e the function body in solve.java based on the function definition and docstring below:
codecontests_java_84,Edit,Author, the function body in solve.java based on the function definition and docstring below:
humaneval_python_84,Directly implement,Manually develop, the function body in solve.py based on the function definition and docstring below:
apps_python_85,Directly build,Independently develop, the function body in solve.py based on the function definition and docstring below:
codecontests_java_85,Edi,Craf,t the function body in solve.java based on the function definition and docstring below:
apps_python_87,Directly build,Manually develop, the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_87,Prepare,Implement, the function body in solve.cpp based on the function definition and docstring below:
apps_python_88,Properly add,Properly develop, the function body in solve.py based on the function definition and docstring below:
codecontests_java_88,Prefill,Formulate, the function body in solve.java based on the function definition and docstring below:
codecontests_java_89,Save,Design, the function body in solve.java based on the function definition and docstring below:
apps_python_91,Directly build,Manually develop, the function body in solve.py based on the function definition and docstring below:
apps_python_92,Create,Implement, the function body in solve.py based on the function definition and docstring below:
apps_python_93,Directly build,Independently develop, the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_93,Create,Develop, the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_93,Appen,Buil,d the function body in solve.java based on the function definition and docstring below:
apps_python_94,Write,Build, out the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_94,Prepare,Implement, the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_94,Appen,Buil,d the function body in solve.java based on the function definition and docstring below:
codecontests_cpp_95,Directly implement,Manually develop, the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_95,Prepare,Craft, the function body in solve.java based on the function definition and docstring below:
apps_python_96,Manually build,Manually develop, the function body in solve.py based on the function definition and docstring below:
codecontests_java_96,Manually build,Carefully implement, the function body in solve.java based on the function definition and docstring below:
mbpp_python_96,Create,Implement, the function body in solve.py based on the function definition and docstring below:
apps_python_97,Directly build,Independently develop, the function body in solve.py based on the function definition and docstring below:
apps_python_98,Properly add,Properly develop, the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_98,Insert,Author, the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_98,Finaliz,Devis,e the function body in solve.java based on the function definition and docstring below:
apps_python_99,Paste,Supply, the function body in solve.py based on the function definition and docstring below:
codecontests_java_99,Past,Compos,e the function body in solve.java based on the function definition and docstring below:
apps_python_100,Write,Build, out the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_100,Properly add,Properly develop, the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_100,Prefill,Formulate, the function body in solve.java based on the function definition and docstring below:
codecontests_java_101,Finaliz,Devis,e the function body in solve.java based on the function definition and docstring below:
apps_python_102,Directly build,Independently develop, the function body in solve.py based on the function definition and docstring below:
apps_python_103,Directly build,Manually develop, the function body in solve.py based on the function definition and docstring below:
mbpp_python_103,Manually build,Carefully implement, the function body in solve.py based on the function definition and docstring below:
apps_python_104,Directly build,Manually develop, the function body in solve.py based on the function definition and docstring below:
codecontests_java_105,Manually build,Manually develop, the function body in solve.java based on the function definition and docstring below:
apps_python_106,Save,Supply, the function body in solve.py based on the function definition and docstring below:
codecontests_java_106,Prefill,Formulate, the function body in solve.java based on the function definition and docstring below:
apps_python_107,Directly build,Independently develop, the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_108,Prepare,Implement, the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_108,Past,Compos,e the function body in solve.java based on the function definition and docstring below:
humaneval_python_108,Write,Build, out the function body in solve.py based on the function definition and docstring below:
codecontests_java_109,Insert,Build, the function body in solve.java based on the function definition and docstring below:
humaneval_python_109,Directly build,Carefully implement, the function body in solve.py based on the function definition and docstring below:
apps_python_110,Directly build,Independently develop, the function body in solve.py based on the function definition and docstring below:
codecontests_java_110,Insert,Compose, the function body in solve.java based on the function definition and docstring below:
apps_python_111,Paste,Author, the function body in solve.py based on the function definition and docstring below:
codecontests_java_112,Append,Supply, the function body in solve.java based on the function definition and docstring below:
humaneval_python_112,Directly implement,Manually develop, the function body in solve.py based on the function definition and docstring below:
mbpp_python_112,Prepare,Supply, the function body in solve.py based on the function definition and docstring below:
apps_python_113,Save,Design, the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_113,Write,Develop, the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_113,Inser,Craf,t the function body in solve.java based on the function definition and docstring below:
codecontests_cpp_114,Write,Develop, the function body in solve.cpp based on the function definition and docstring below:
codecontests_cpp_115,Manually build,Manually develop, the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_115,Save,Build, the function body in solve.java based on the function definition and docstring below:
humaneval_python_115,Paste,Author, the function body in solve.py based on the function definition and docstring below:
mbpp_python_115,Directly build,Independently develop, the function body in solve.py based on the function definition and docstring below:
apps_python_116,Manually build,Independently develop, the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_116,Write,Build, out the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_116,Appen,Buil,d the function body in solve.java based on the function definition and docstring below:
humaneval_python_116,Write,Implement, the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_117,Direct,Careful,ly implement the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_117,Finaliz,Devis,e the function body in solve.java based on the function definition and docstring below:
mbpp_python_117,Directly build,Carefully implement, the function body in solve.py based on the function definition and docstring below:
apps_python_118,Save,Supply, the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_118,Create,Develop, the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_118,Insert,Compose, the function body in solve.java based on the function definition and docstring below:
apps_python_119,Write,Build, out the function body in solve.py based on the function definition and docstring below:
humaneval_python_119,Directly build,Independently develop, the function body in solve.py based on the function definition and docstring below:
apps_python_120,Prepare,Implement, the function body in solve.py based on the function definition and docstring below:
codecontests_java_120,Manually build,Manually develop, the function body in solve.java based on the function definition and docstring below:
apps_python_121,Directly build,Manually develop, the function body in solve.py based on the function definition and docstring below:
humaneval_python_121,Prepare,Supply, the function body in solve.py based on the function definition and docstring below:
codecontests_java_122,Edit,Design, the function body in solve.java based on the function definition and docstring below:
codecontests_cpp_123,Create,Develop, the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_123,Prefill,Formulate, the function body in solve.java based on the function definition and docstring below:
codecontests_cpp_124,Create,Author, the function body in solve.cpp based on the function definition and docstring below:
humaneval_python_124,Directly build,Manually develop, the function body in solve.py based on the function definition and docstring below:
apps_python_125,Directly build,Carefully implement, the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_125,Write,Build, out the function body in solve.cpp based on the function definition and docstring below:
apps_python_126,Write,Build, out the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_126,Properly add,Properly develop, the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_126,Finaliz,Devis,e the function body in solve.java based on the function definition and docstring below:
apps_python_128,Manually build,Carefully implement, the function body in solve.py based on the function definition and docstring below:
apps_python_129,Directly build,Carefully implement, the function body in solve.py based on the function definition and docstring below:
codecontests_java_129,Write,Craft, the function body in solve.java based on the function definition and docstring below:
apps_python_130,Manually build,Manually develop, the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_130,Inser,Craf,t the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_130,Prefill,Formulate, the function body in solve.java based on the function definition and docstring below:
mbpp_python_130,Directly build,Independently develop, the function body in solve.py based on the function definition and docstring below:
apps_python_131,Write,Build, out the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_131,Write,Build, out the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_131,Prefill,Formulate, the function body in solve.java based on the function definition and docstring below:
humaneval_python_131,Paste,Design, the function body in solve.py based on the function definition and docstring below:
apps_python_132,Write,Build, out the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_132,Create,Implement, the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_132,Append,Supply, the function body in solve.java based on the function definition and docstring below:
codecontests_java_133,Paste,Craft, the function body in solve.java based on the function definition and docstring below:
mbpp_python_133,Directly build,Carefully implement, the function body in solve.py based on the function definition and docstring below:
apps_python_134,Properly add,Properly develop, the function body in solve.py based on the function definition and docstring below:
codecontests_java_134,Past,Compos,e the function body in solve.java based on the function definition and docstring below:
apps_python_135,Directly build,Carefully implement, the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_136,Prepare,Craft, the function body in solve.cpp based on the function definition and docstring below:
codecontests_cpp_137,Edit,Author, the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_137,Prefill,Formulate, the function body in solve.java based on the function definition and docstring below:
humaneval_python_137,Manually build,Manually develop, the function body in solve.py based on the function definition and docstring below:
codecontests_java_138,Finaliz,Devis,e the function body in solve.java based on the function definition and docstring below:
apps_python_140,Save,Design, the function body in solve.py based on the function definition and docstring below:
codecontests_java_140,Append,Design, the function body in solve.java based on the function definition and docstring below:
mbpp_python_140,Write,Build, out the function body in solve.py based on the function definition and docstring below:
apps_python_141,Properly add,Properly develop, the function body in solve.py based on the function definition and docstring below:
codecontests_java_141,Manually build,Independently develop, the function body in solve.java based on the function definition and docstring below:
apps_python_142,Manually build,Carefully implement, the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_142,Prepare,Author, the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_142,Save,Build, the function body in solve.java based on the function definition and docstring below:
codecontests_java_143,Prefill,Formulate, the function body in solve.java based on the function definition and docstring below:
codecontests_java_144,Directly implement,Independently develop, the function body in solve.java based on the function definition and docstring below:
mbpp_python_144,Directly implement,Manually develop, the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_145,Write,Build, out the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_145,Appen,Buil,d the function body in solve.java based on the function definition and docstring below:
apps_python_146,Write,Build, out the function body in solve.py based on the function definition and docstring below:
codecontests_java_146,Edit,Supply, the function body in solve.java based on the function definition and docstring below:
codecontests_cpp_147,Insert,Author, the function body in solve.cpp based on the function definition and docstring below:
mbpp_python_147,Directly build,Carefully implement, the function body in solve.py based on the function definition and docstring below:
apps_python_148,Write,Build, out the function body in solve.py based on the function definition and docstring below:
codecontests_java_148,Save,Design, the function body in solve.java based on the function definition and docstring below:
humaneval_python_148,Directly build,Independently develop, the function body in solve.py based on the function definition and docstring below:
mbpp_python_148,Direct,Careful,ly implement the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_149,Write,Develop, the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_149,Finaliz,Devis,e the function body in solve.java based on the function definition and docstring below:
humaneval_python_149,Manually build,Carefully implement, the function body in solve.py based on the function definition and docstring below:
mbpp_python_149,Properly add,Properly develop, the function body in solve.py based on the function definition and docstring below:
apps_python_150,Finaliz,Formulat,e the function body in solve.py based on the function definition and docstring below:
apps_python_151,Finaliz,Devis,e the function body in solve.py based on the function definition and docstring below:
humaneval_python_151,Directly build,Manually develop, the function body in solve.py based on the function definition and docstring below:
apps_python_152,Paste,Supply, the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_152,Write,Build, out the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_152,Write,Build, out the function body in solve.java based on the function definition and docstring below:
codecontests_cpp_153,Write,Develop, the function body in solve.cpp based on the function definition and docstring below:
apps_python_154,Finaliz,Devis,e the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_154,Prepare,Author, the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_154,Save,Supply, the function body in solve.java based on the function definition and docstring below:
humaneval_python_154,Manually build,Carefully implement, the function body in solve.py based on the function definition and docstring below:
apps_python_155,Directly build,Independently develop, the function body in solve.py based on the function definition and docstring below:
apps_python_156,Properly add,Properly develop, the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_156,Insert,Author, the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_156,Save,Design, the function body in solve.java based on the function definition and docstring below:
apps_python_157,Insert,Supply, the function body in solve.py based on the function definition and docstring below:
codecontests_java_157,Save,Supply, the function body in solve.java based on the function definition and docstring below:
apps_python_158,Manually build,Independently develop, the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_158,Prepare,Author, the function body in solve.cpp based on the function definition and docstring below:
codecontests_cpp_159,Write,Build, out the function body in solve.cpp based on the function definition and docstring below:
apps_python_160,Manually build,Carefully implement, the function body in solve.py based on the function definition and docstring below:
apps_python_161,Direct,Careful,ly implement the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_161,Properly add,Properly develop, the function body in solve.cpp based on the function definition and docstring below:
humaneval_python_161,Manually build,Carefully implement, the function body in solve.py based on the function definition and docstring below:
apps_python_163,Directly build,Independently develop, the function body in solve.py based on the function definition and docstring below:
codecontests_java_163,Append,Design, the function body in solve.java based on the function definition and docstring below:
codecontests_cpp_165,Prepare,Implement, the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_165,Past,Compos,e the function body in solve.java based on the function definition and docstring below:
mbpp_python_165,Directly build,Independently develop, the function body in solve.py based on the function definition and docstring below:
apps_python_166,Directly build,Independently develop, the function body in solve.py based on the function definition and docstring below:
codecontests_java_166,Prepare,Craft, the function body in solve.java based on the function definition and docstring below:
apps_python_167,Manually build,Independently develop, the function body in solve.py based on the function definition and docstring below:
codecontests_java_167,Write,Develop, the function body in solve.java based on the function definition and docstring below:
mbpp_python_167,Insert,Author, the function body in solve.py based on the function definition and docstring below:
codecontests_java_168,Edit,Compose, the function body in solve.java based on the function definition and docstring below:
codecontests_java_169,Manually build,Independently develop, the function body in solve.java based on the function definition and docstring below:
apps_python_170,Directly build,Carefully implement, the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_170,Paste,Author, the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_171,Prefill,Formulate, the function body in solve.java based on the function definition and docstring below:
apps_python_172,Directly build,Manually develop, the function body in solve.py based on the function definition and docstring below:
codecontests_java_172,Write,Develop, the function body in solve.java based on the function definition and docstring below:
codecontests_java_173,Insert,Supply, the function body in solve.java based on the function definition and docstring below:
apps_python_174,Save,Craft, the function body in solve.py based on the function definition and docstring below:
codecontests_java_174,Finaliz,Devis,e the function body in solve.java based on the function definition and docstring below:
apps_python_175,Directly implement,Manually develop, the function body in solve.py based on the function definition and docstring below:
codecontests_java_175,Finaliz,Devis,e the function body in solve.java based on the function definition and docstring below:
mbpp_python_175,Create,Implement, the function body in solve.py based on the function definition and docstring below:
codecontests_java_176,Prefill,Formulate, the function body in solve.java based on the function definition and docstring below:
codecontests_java_177,Properly add,Properly develop, the function body in solve.java based on the function definition and docstring below:
mbpp_python_177,Directly build,Carefully implement, the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_178,Edit,Author, the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_178,Insert,Design, the function body in solve.java based on the function definition and docstring below:
apps_python_179,Finaliz,Devis,e the function body in solve.py based on the function definition and docstring below:
codecontests_java_179,Finaliz,Devis,e the function body in solve.java based on the function definition and docstring below:
apps_python_181,Prepare,Develop, the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_181,Manually build,Carefully implement, the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_181,Prefill,Formulate, the function body in solve.java based on the function definition and docstring below:
codecontests_cpp_182,Prepare,Develop, the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_182,Finaliz,Devis,e the function body in solve.java based on the function definition and docstring below:
apps_python_183,Directly build,Independently develop, the function body in solve.py based on the function definition and docstring below:
codecontests_java_183,Edit,Compose, the function body in solve.java based on the function definition and docstring below:
apps_python_184,Edit,Supply, the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_185,Properly add,Properly develop, the function body in solve.cpp based on the function definition and docstring below:
mbpp_python_185,Directly build,Independently develop, the function body in solve.py based on the function definition and docstring below:
apps_python_186,Manually build,Independently develop, the function body in solve.py based on the function definition and docstring below:
codecontests_java_186,Save,Build, the function body in solve.java based on the function definition and docstring below:
apps_python_187,Directly implement,Manually develop, the function body in solve.py based on the function definition and docstring below:
apps_python_188,Write,Implement, the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_188,Prepare,Author, the function body in solve.cpp based on the function definition and docstring below:
codecontests_cpp_189,Write,Develop, the function body in solve.cpp based on the function definition and docstring below:
apps_python_190,Write,Implement, the function body in solve.py based on the function definition and docstring below:
codecontests_java_190,Insert,Compose, the function body in solve.java based on the function definition and docstring below:
apps_python_191,Create,Implement, the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_191,Properly add,Properly develop, the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_191,Append,Design, the function body in solve.java based on the function definition and docstring below:
apps_python_192,Edit,Design, the function body in solve.py based on the function definition and docstring below:
codecontests_java_192,Inser,Craf,t the function body in solve.java based on the function definition and docstring below:
codecontests_java_193,Properly add,Properly develop, the function body in solve.java based on the function definition and docstring below:
